               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,             0.04997,             0.04548,            0.028328,             0.80611,             0.60417,              0.8094,             0.47857,            0.035822,            0.045082,            0.026271,            0.003268,            0.003268,            0.003268
                  70,            0.045656,             0.05504,            0.035695,             0.80611,             0.60417,              0.8094,             0.47857,            0.035822,            0.045082,            0.026271,            0.003169,            0.003169,            0.003169
                  71,            0.040268,            0.062252,            0.027428,             0.75278,              0.5977,             0.80166,             0.55569,            0.039159,            0.047967,            0.025534,             0.00307,             0.00307,             0.00307
                  72,            0.044175,            0.054939,            0.023936,             0.75278,              0.5977,             0.80166,             0.55569,            0.039159,            0.047967,            0.025534,            0.002971,            0.002971,            0.002971
                  73,            0.044447,             0.04741,            0.025928,              0.7577,             0.60417,             0.82568,             0.44254,            0.037054,            0.045465,            0.025223,            0.002872,            0.002872,            0.002872
                  74,            0.038773,             0.06933,            0.025034,              0.7577,             0.60417,             0.82568,             0.44254,            0.037054,            0.045465,            0.025223,            0.002773,            0.002773,            0.002773
                  75,            0.038555,            0.039396,            0.020709,              0.7589,             0.62418,             0.83755,             0.60218,            0.031593,            0.043114,            0.024586,            0.002674,            0.002674,            0.002674
                  76,            0.039273,            0.042854,            0.030472,              0.7589,             0.62418,             0.83755,             0.60218,            0.031593,            0.043114,            0.024586,            0.002575,            0.002575,            0.002575
                  77,            0.039369,            0.052563,            0.023553,             0.74354,             0.64583,             0.85486,             0.49371,            0.032901,            0.043064,            0.024312,            0.002476,            0.002476,            0.002476
                  78,            0.036272,            0.042921,            0.026108,             0.74354,             0.64583,             0.85486,             0.49371,            0.032901,            0.043064,            0.024312,            0.002377,            0.002377,            0.002377
                  79,            0.042961,            0.072807,            0.029807,             0.77136,             0.64583,             0.84074,             0.59854,            0.029568,            0.041712,            0.023941,            0.002278,            0.002278,            0.002278
                  80,            0.034946,            0.054436,            0.024754,             0.77136,             0.64583,             0.84074,             0.59854,            0.029568,            0.041712,            0.023941,            0.002179,            0.002179,            0.002179
                  81,            0.038337,            0.057528,            0.022697,             0.77345,             0.64583,             0.86326,             0.55702,            0.029108,            0.040773,            0.023772,             0.00208,             0.00208,             0.00208
                  82,            0.034616,            0.040714,            0.027106,             0.77345,             0.64583,             0.86326,             0.55702,            0.029108,            0.040773,            0.023772,            0.001981,            0.001981,            0.001981
                  83,            0.037627,            0.054465,            0.019734,             0.79968,             0.64754,              0.8281,              0.5672,            0.028271,            0.041005,            0.023492,            0.001882,            0.001882,            0.001882
                  84,            0.033631,             0.04775,            0.024138,             0.79968,             0.64754,              0.8281,              0.5672,            0.028271,            0.041005,            0.023492,            0.001783,            0.001783,            0.001783
                  85,            0.034031,            0.053819,            0.022896,             0.79767,             0.64583,             0.79598,             0.58935,            0.026947,            0.040057,            0.023373,            0.001684,            0.001684,            0.001684
